Name,Email,Location,Job Title,Job Type,Education,Employment Type,Practice Size,Area Type,Sponsorship,English Proficiency,Compensation
Samuel Reyes,laurasmith@example.org,"Phoenix, AZ",Endodontist,Private Practice,DDS,Contract,Large,Urban,No,5,135790.12
Monica Medina,pjohnson@example.org,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,Contract,Large,Urban,No,3,109554.75
Terri Brown,harrisonmolly@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,Part-time,Small,Urban,No,2,133542.04
Kevin Walker,cmerritt@example.net,"Houston, TX",Periodontist,DSO,DDS with Specialization,Full-time,Large,Urban,No,3,114702.91
Judy Garcia,ramirezjeffrey@example.org,"Houston, TX",Orthodontist,Private Practice,DMD,Contract,Large,Urban,Yes,3,135278.92
Samuel Hall,holtsophia@example.net,"Phoenix, AZ",Endodontist,Private Practice,DDS,Full-time,Large,Urban,Yes,2,138046.65
Tracy Hopkins,cindycox@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DMD with Specialization,Part-time,Large,Urban,No,2,103690.91
Todd Massey,davisgarrett@example.com,"Houston, TX",General Dentist,Private Practice,DDS,Contract,Large,Rural,No,3,100735.67
Traci Sanchez,ricardomolina@example.net,"Los Angeles, CA",General Dentist,DSO,DDS,Contract,Medium,Urban,Yes,1,114028.43
Emily Murray,greenejoseph@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DDS,Temporary,Large,Rural,No,3,95860.9
Kaitlyn Zimmerman,imassey@example.com,"Los Angeles, CA",Pedodontist,DSO,DDS,Contract,Medium,Urban,No,4,85789.25
Tiffany Brown,nicholascollins@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,Full-time,Medium,Urban,Yes,3,130524.1
Eric Barajas,michaelmorales@example.com,"Houston, TX",Pedodontist,DSO,DMD with Specialization,Contract,Large,Urban,Yes,5,134427.26
Christopher Stanley,richardpalmer@example.org,"Los Angeles, CA",Pedodontist,DSO,DDS with Specialization,Full-time,Medium,Rural,No,2,109764.54
Michael Martin,danieljones@example.org,"Los Angeles, CA",General Dentist,DSO,DMD,Full-time,Small,Urban,No,1,98302.6
Angel Beck,ryanvilla@example.org,"Los Angeles, CA",Periodontist,DSO,DDS with Specialization,Temporary,Large,Rural,No,2,83115.42
Ashley Bauer,boydzachary@example.com,"Chicago, IL",General Dentist,Private Practice,DMD with Specialization,Contract,Medium,Rural,No,3,126802.09
Thomas Nunez,jefferyjones@example.org,"Chicago, IL",Endodontist,Private Practice,DDS,Contract,Large,Rural,Yes,4,133620.39
Chris Stokes DDS,sandrafrey@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,Part-time,Large,Rural,Yes,3,114150.49
Kimberly Harris,floresheidi@example.org,"Los Angeles, CA",Endodontist,Private Practice,DMD,Temporary,Large,Rural,No,5,137081.09
Alan Williams,marylong@example.org,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,Contract,Small,Urban,No,3,103194.81
Antonio Kennedy,simsanita@example.net,"Chicago, IL",General Dentist,Private Practice,DDS,Full-time,Medium,Urban,Yes,4,112864.11
Troy Levine,handerson@example.org,"Houston, TX",Periodontist,Private Practice,DMD with Specialization,Full-time,Medium,Rural,No,5,112913.4
David Carson,jonesmichele@example.org,"Phoenix, AZ",Endodontist,DSO,DDS with Specialization,Full-time,Medium,Rural,No,4,115607.7
Scott Mckinney,bradleydoyle@example.net,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,Temporary,Large,Urban,Yes,1,133358.28
Jennifer Baker,dunndanielle@example.com,"Chicago, IL",Orthodontist,DSO,DMD,Full-time,Small,Rural,Yes,5,121640.8
Teresa Gonzalez,rebecca44@example.org,"Los Angeles, CA",Endodontist,Private Practice,DMD,Contract,Small,Urban,Yes,2,96919.95
Renee Schneider,ashleymccoy@example.org,"Chicago, IL",General Dentist,Private Practice,DDS,Temporary,Large,Rural,No,3,140560.88
Jimmy Reed,iwhite@example.org,"Chicago, IL",Endodontist,Private Practice,DMD,Part-time,Medium,Urban,Yes,2,98891.11
Carrie Logan,holly79@example.net,"Houston, TX",Orthodontist,DSO,DDS,Contract,Large,Urban,Yes,1,98091.49
Sara Jimenez,mcintyreraymond@example.org,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,Contract,Small,Urban,No,1,118393.46
Jeffery Powell,mleon@example.net,"Phoenix, AZ",General Dentist,Private Practice,DDS with Specialization,Full-time,Small,Urban,Yes,1,87931.25
Brady Smith DVM,shanson@example.net,"Phoenix, AZ",Periodontist,DSO,DMD with Specialization,Contract,Small,Urban,No,5,95395.24
Stacey Price,ilee@example.org,"New York, NY",Orthodontist,DSO,DMD with Specialization,Contract,Medium,Rural,Yes,3,117543.96
Timothy Rodriguez,shermanemily@example.com,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,Contract,Medium,Rural,No,5,87774.26
Sandra Reid,kjefferson@example.com,"Houston, TX",Periodontist,Private Practice,DDS,Full-time,Large,Urban,Yes,3,91589.4
Sharon Rivera,amandadoyle@example.org,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,Part-time,Medium,Rural,No,5,131517.04
Cody Lowery,wlee@example.com,"Chicago, IL",General Dentist,Private Practice,DMD with Specialization,Part-time,Large,Urban,No,5,92892.28
Larry Patterson,joann28@example.net,"Los Angeles, CA",General Dentist,DSO,DDS,Part-time,Small,Urban,No,1,99212.9
Adrian May,saraholson@example.net,"Phoenix, AZ",Orthodontist,DSO,DMD with Specialization,Contract,Medium,Urban,Yes,3,97626.66
Michael Fischer,vwinters@example.org,"Houston, TX",General Dentist,Private Practice,DDS,Part-time,Small,Urban,Yes,5,143828.99
Keith Reid,wjohnson@example.org,"Chicago, IL",Orthodontist,Private Practice,DMD,Contract,Large,Urban,No,4,108891.13
Deborah Davies,hinesseth@example.net,"Chicago, IL",Orthodontist,Private Practice,DDS,Contract,Small,Urban,No,4,127184.53
Linda Glover,bromero@example.net,"New York, NY",Orthodontist,DSO,DDS,Temporary,Small,Rural,Yes,4,103652.94
Amy Norman,emily15@example.net,"Los Angeles, CA",Orthodontist,DSO,DDS,Contract,Small,Rural,No,4,88571.51
Rebecca Roberts,mark37@example.com,"Houston, TX",Orthodontist,Private Practice,DDS,Full-time,Small,Rural,No,1,134404.86
Michael Webster,benjaminhorton@example.com,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,Full-time,Medium,Urban,No,5,99691.5
Felicia Beltran,ashley44@example.org,"Phoenix, AZ",Pedodontist,DSO,DMD,Part-time,Small,Urban,No,3,116550.11
Joanna Kim,chelsea22@example.com,"New York, NY",Pedodontist,DSO,DMD with Specialization,Part-time,Medium,Rural,Yes,5,108293.85
Michele Singh,sandovalkevin@example.com,"New York, NY",Periodontist,Private Practice,DDS with Specialization,Part-time,Large,Urban,Yes,4,138281.47
Jennifer Gray,emorrison@example.net,"New York, NY",Periodontist,DSO,DMD,Contract,Large,Rural,No,3,124256.23
Stephanie Bell,alyssa38@example.org,"New York, NY",General Dentist,Private Practice,DDS with Specialization,Temporary,Medium,Urban,No,4,112106.51
Gabriel Watson,vhines@example.org,"Los Angeles, CA",Endodontist,Private Practice,DDS,Full-time,Large,Urban,Yes,4,109408.8
Jonathan Garcia DDS,adam43@example.com,"Chicago, IL",Periodontist,Private Practice,DMD with Specialization,Temporary,Medium,Urban,Yes,1,107314.96
Richard Vargas Jr.,pmcgrath@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DMD,Full-time,Medium,Rural,No,4,145960.82
Karen Stone,vduncan@example.org,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,Contract,Medium,Urban,Yes,2,138836.22
Jessica Ho,jessica05@example.org,"Chicago, IL",Endodontist,DSO,DDS,Contract,Medium,Urban,Yes,1,121462.35
Harry Thomas,swest@example.org,"Houston, TX",Pedodontist,DSO,DDS,Part-time,Medium,Rural,Yes,5,145542.76
Autumn Lopez,gregorymiller@example.org,"Phoenix, AZ",Orthodontist,DSO,DMD,Contract,Large,Urban,Yes,3,99539.65
Gary White,laurajohnson@example.net,"New York, NY",Orthodontist,Private Practice,DDS,Contract,Medium,Rural,No,5,140799.63
Caitlin Reeves,bdaniels@example.net,"New York, NY",Orthodontist,Private Practice,DMD,Part-time,Medium,Rural,Yes,5,130354.88
Kelly Miller,allisonstephens@example.com,"Phoenix, AZ",Pedodontist,DSO,DMD,Contract,Large,Urban,No,3,118454.82
Carl Cowan,sallen@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS,Temporary,Medium,Urban,Yes,3,102081.48
Ashley Turner,davidjohnson@example.net,"New York, NY",Pedodontist,Private Practice,DMD,Part-time,Large,Urban,Yes,1,95265.18
Tina Lopez,ysmith@example.com,"New York, NY",Orthodontist,Private Practice,DDS with Specialization,Temporary,Small,Urban,Yes,2,127606.6
Michael Vaughn,sean53@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DMD,Temporary,Small,Rural,Yes,4,121421.82
David Roberts,woodardandrew@example.org,"New York, NY",Endodontist,DSO,DDS,Full-time,Large,Urban,No,4,134267.88
Michael Boyle,dana72@example.net,"Chicago, IL",Endodontist,Private Practice,DMD,Temporary,Small,Urban,No,1,112029.83
Austin Hayden,jeffery08@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD,Full-time,Medium,Rural,No,5,118228.61
Bobby Green,mackkrista@example.net,"New York, NY",Endodontist,DSO,DMD with Specialization,Full-time,Small,Rural,Yes,2,102113.12
Charles Martin,vicki22@example.org,"Phoenix, AZ",Pedodontist,DSO,DDS with Specialization,Part-time,Large,Rural,No,5,80619.37
Amber Garner,isuarez@example.org,"Los Angeles, CA",Periodontist,DSO,DDS with Specialization,Part-time,Large,Urban,Yes,3,108891.43
Patrick Garcia,atkinsonconnie@example.org,"Phoenix, AZ",General Dentist,Private Practice,DDS with Specialization,Contract,Large,Urban,Yes,5,123951.89
Jeremy Smith,christinegonzalez@example.org,"Phoenix, AZ",Endodontist,Private Practice,DDS with Specialization,Temporary,Large,Rural,Yes,1,130624.77
Jessica Hart,kirbykevin@example.com,"Houston, TX",General Dentist,Private Practice,DDS,Temporary,Small,Urban,No,2,124753.7
Isaac Rodriguez,shernandez@example.net,"Chicago, IL",Pedodontist,DSO,DDS,Contract,Small,Rural,Yes,1,93206.44
Richard Reeves,osmith@example.com,"New York, NY",Orthodontist,DSO,DMD,Temporary,Medium,Rural,Yes,2,85025.89
Stephen Ryan DVM,nathanielcox@example.com,"Houston, TX",Orthodontist,DSO,DMD with Specialization,Contract,Medium,Urban,No,3,103501.26
Kirsten Blair,sjenkins@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DDS,Temporary,Medium,Urban,No,4,125064.87
Crystal Moore,donaldnewton@example.net,"Los Angeles, CA",Periodontist,Private Practice,DMD with Specialization,Temporary,Large,Urban,Yes,5,145685.91
Amber Coleman,monique48@example.org,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,Contract,Small,Urban,Yes,1,147859.94
Whitney Arellano,smithjeremiah@example.net,"Los Angeles, CA",Periodontist,DSO,DMD,Part-time,Small,Rural,No,1,145268.66
Angela Savage,lcraig@example.org,"Chicago, IL",Periodontist,Private Practice,DDS with Specialization,Temporary,Small,Rural,No,5,95020.28
Danielle Wolfe,jessica90@example.org,"Chicago, IL",Periodontist,DSO,DDS with Specialization,Temporary,Small,Rural,Yes,1,136069.29
Christina Charles,daniel84@example.net,"Chicago, IL",General Dentist,DSO,DMD with Specialization,Part-time,Large,Urban,No,5,81265.66
Rachel Clayton,alexanderlinda@example.com,"Houston, TX",General Dentist,Private Practice,DMD with Specialization,Part-time,Medium,Urban,Yes,4,116143.87
Kristen Miller,wellstanya@example.com,"Chicago, IL",Periodontist,DSO,DDS,Part-time,Large,Rural,Yes,5,103505.99
Katie Mitchell,castrojacob@example.net,"Phoenix, AZ",General Dentist,Private Practice,DMD with Specialization,Contract,Large,Urban,Yes,5,113118.84
Sherry Moore,ychaney@example.org,"New York, NY",Orthodontist,Private Practice,DMD,Temporary,Small,Urban,No,3,90573.98
Cameron Hill,yolanda62@example.net,"New York, NY",General Dentist,DSO,DMD with Specialization,Part-time,Large,Rural,Yes,2,103613.33
Adam Keith,bettyreed@example.org,"Houston, TX",Pedodontist,Private Practice,DMD with Specialization,Contract,Small,Rural,Yes,5,82846.39
Savannah Ruiz,eric51@example.net,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,Contract,Small,Rural,Yes,2,127725.55
Johnny Mullins,gabrielle13@example.org,"New York, NY",Periodontist,Private Practice,DMD,Contract,Medium,Rural,Yes,4,113474.28
Ashley Miller,donald31@example.com,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,Temporary,Large,Urban,No,5,106792.42
Alec Harris,jbennett@example.org,"Houston, TX",Orthodontist,Private Practice,DDS,Temporary,Medium,Rural,Yes,5,83116.37
Brandon Lara,lisacarroll@example.org,"Houston, TX",Pedodontist,Private Practice,DDS,Full-time,Large,Rural,No,5,124621.09
Gary Walsh,wrightnicole@example.com,"Phoenix, AZ",General Dentist,DSO,DDS with Specialization,Temporary,Large,Rural,No,4,115401.62
Todd Brown,donna53@example.org,"Houston, TX",Endodontist,Private Practice,DMD with Specialization,Part-time,Small,Urban,Yes,5,114134.12
Michelle Davis,jesus39@example.org,"Chicago, IL",Orthodontist,DSO,DMD,Contract,Medium,Urban,No,2,80070.89
Samuel Hickman,vernon71@example.net,"Los Angeles, CA",Periodontist,DSO,DMD,Temporary,Medium,Urban,Yes,2,120957.52
Terry Kerr,cmartinez@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,Temporary,Large,Urban,No,5,124467.23
Gene Gonzalez,ariaskyle@example.org,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,Full-time,Small,Rural,No,1,140093.92
John Cunningham,andrea86@example.com,"Houston, TX",Periodontist,Private Practice,DMD with Specialization,Full-time,Large,Urban,No,4,141188.87
Tara Day,shaun95@example.com,"New York, NY",Orthodontist,Private Practice,DMD,Full-time,Medium,Rural,Yes,1,134941.86
Kristopher Thomas,steven04@example.net,"Phoenix, AZ",Pedodontist,DSO,DDS with Specialization,Part-time,Medium,Urban,Yes,3,134083.91
Angel Smith,amandabuchanan@example.com,"Los Angeles, CA",General Dentist,DSO,DDS with Specialization,Contract,Small,Urban,No,3,148382.91
William Stafford,bmontgomery@example.org,"Phoenix, AZ",Periodontist,Private Practice,DDS with Specialization,Contract,Medium,Rural,No,2,149369.19
Kelli Bowman,hmalone@example.com,"New York, NY",General Dentist,DSO,DMD,Full-time,Medium,Urban,Yes,5,142885.85
John Butler,moorerobert@example.com,"New York, NY",Endodontist,Private Practice,DDS,Part-time,Medium,Rural,Yes,4,116833.14
Deborah Rivera,laurenhill@example.net,"Los Angeles, CA",Endodontist,DSO,DDS,Contract,Small,Urban,Yes,2,110450.24
Alicia Mendez,zachary59@example.net,"Phoenix, AZ",Orthodontist,DSO,DMD,Contract,Large,Urban,Yes,1,92707.72
Sarah Foster,nicholasphillips@example.org,"Phoenix, AZ",Periodontist,Private Practice,DDS,Temporary,Medium,Urban,Yes,2,128825.9
Stacey Camacho,wileymatthew@example.com,"Houston, TX",Pedodontist,DSO,DMD,Contract,Small,Rural,No,2,95884.34
Ann Johnson,parmstrong@example.org,"Phoenix, AZ",Pedodontist,DSO,DMD,Full-time,Small,Rural,Yes,1,90716.48
Charlene Rasmussen,laurenvazquez@example.net,"New York, NY",Endodontist,Private Practice,DMD,Full-time,Large,Urban,No,4,124147.95
Erin Cooper,joyce99@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DMD,Part-time,Medium,Rural,No,4,127801.03
Amber Collins,robert24@example.net,"Los Angeles, CA",Periodontist,DSO,DMD with Specialization,Temporary,Medium,Urban,Yes,3,104918.15
Shannon Young,brittany10@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DMD,Temporary,Small,Urban,Yes,1,91877.32
Bradley Kirby,randy69@example.org,"Houston, TX",Periodontist,DSO,DMD,Part-time,Large,Rural,Yes,2,100078.79
Gregory Todd,jdavis@example.com,"Chicago, IL",Pedodontist,Private Practice,DMD,Full-time,Medium,Urban,Yes,1,138697.13
Todd Thornton,pmurray@example.net,"Phoenix, AZ",Orthodontist,DSO,DDS,Temporary,Large,Rural,No,1,107971.05
Joseph Phelps,denisesanders@example.org,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,Full-time,Large,Urban,No,1,106325.17
Victor Williams,vasqueznathan@example.org,"Chicago, IL",Periodontist,DSO,DDS,Contract,Small,Urban,No,2,128272.57
David Simpson,lopezrobin@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,Temporary,Medium,Urban,Yes,3,87118.97
Gregory Taylor,brittanydaniels@example.org,"Chicago, IL",Periodontist,DSO,DMD with Specialization,Full-time,Large,Urban,Yes,2,122526.14
Wendy Vasquez,ojimenez@example.com,"Houston, TX",Orthodontist,DSO,DMD,Contract,Small,Urban,No,1,116200.02
Ronald Malone,bellalexandra@example.org,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,Temporary,Medium,Rural,No,4,141148.78
Wendy Petersen,austinconway@example.net,"New York, NY",General Dentist,Private Practice,DMD with Specialization,Contract,Medium,Urban,Yes,1,129945.05
April Reed,laura78@example.com,"New York, NY",Endodontist,Private Practice,DMD,Full-time,Small,Urban,No,5,118051.29
Rebecca Warren,mromero@example.org,"Houston, TX",Periodontist,DSO,DMD with Specialization,Contract,Medium,Rural,Yes,4,118299.55
Tiffany Rose,aprilgreen@example.org,"Los Angeles, CA",Pedodontist,DSO,DDS,Full-time,Large,Rural,Yes,2,133650.09
Cody Carter,ojoseph@example.org,"Los Angeles, CA",Orthodontist,Private Practice,DMD with Specialization,Full-time,Small,Urban,Yes,4,113753.72
Kristin Baker,thomasramirez@example.net,"Phoenix, AZ",General Dentist,Private Practice,DMD,Temporary,Large,Rural,Yes,5,81611.62
John Romero,jeremy66@example.net,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,Part-time,Small,Rural,Yes,5,124332.4
Nathan Richardson,bellwayne@example.com,"Phoenix, AZ",Periodontist,DSO,DMD with Specialization,Contract,Small,Urban,Yes,3,134695.35
Angela Little,kendra54@example.com,"New York, NY",Endodontist,Private Practice,DDS,Part-time,Large,Urban,Yes,3,90334.18
Teresa Garcia,brandtwilliam@example.com,"Houston, TX",Periodontist,Private Practice,DDS with Specialization,Part-time,Medium,Rural,No,2,122226.1
Joshua Johnson,mannphillip@example.net,"Phoenix, AZ",General Dentist,DSO,DDS with Specialization,Temporary,Large,Urban,No,1,81195.56
Jose Garcia,donaldlam@example.com,"Phoenix, AZ",Endodontist,DSO,DMD,Contract,Medium,Urban,No,1,142036.87
Lisa Dunn,kristamartinez@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,Part-time,Medium,Urban,No,1,85222.64
Christy Stevenson,trich@example.net,"Phoenix, AZ",Periodontist,DSO,DMD with Specialization,Part-time,Medium,Rural,No,2,88249.82
Melanie Williams,jill31@example.net,"New York, NY",General Dentist,DSO,DMD,Full-time,Large,Rural,No,2,110864.22
Robin Thomas,loganlisa@example.org,"Chicago, IL",Pedodontist,Private Practice,DDS with Specialization,Part-time,Medium,Rural,No,3,120664.47
Katrina Hopkins,shannonriley@example.net,"Phoenix, AZ",Endodontist,DSO,DDS with Specialization,Full-time,Medium,Urban,Yes,2,101346.88
Alexander Diaz,michelle78@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS with Specialization,Contract,Small,Rural,Yes,5,121045.61
Brian Alvarez,jacob14@example.org,"Houston, TX",General Dentist,DSO,DMD with Specialization,Temporary,Medium,Rural,No,5,99995.88
Caleb Scott,cheryljacobs@example.com,"New York, NY",General Dentist,Private Practice,DMD with Specialization,Temporary,Medium,Urban,Yes,5,125894.74
David Stewart,maureenedwards@example.com,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,Contract,Large,Rural,Yes,2,96971.43
Joseph Frank,hermanpaul@example.org,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,Part-time,Small,Urban,Yes,4,86019.77
Sara Lewis,joseph66@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS with Specialization,Full-time,Large,Rural,No,1,143514.89
Jacqueline Burns,sandrapearson@example.net,"Los Angeles, CA",Orthodontist,Private Practice,DMD,Part-time,Small,Rural,No,2,88515.79
Joseph Jackson,william61@example.net,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,Contract,Small,Rural,Yes,1,136686.8
Matthew Edwards,tiffanyharrison@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS,Contract,Small,Rural,No,5,101400.24
Emily Mcmillan,evanseric@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,Full-time,Small,Urban,No,1,118892.46
Patrick Mercado,mendezmary@example.org,"Chicago, IL",General Dentist,DSO,DDS,Temporary,Small,Rural,No,4,124445.65
Andrew Scott,james89@example.org,"Houston, TX",Endodontist,DSO,DMD with Specialization,Full-time,Small,Urban,Yes,1,95688.76
Lauren Rodriguez,pburns@example.net,"Los Angeles, CA",Endodontist,Private Practice,DMD with Specialization,Full-time,Small,Urban,No,3,134194.42
Mark Price,whernandez@example.net,"Houston, TX",Orthodontist,Private Practice,DMD with Specialization,Part-time,Small,Rural,No,4,114367.99
Keith Cruz,hodgekyle@example.org,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,Part-time,Medium,Urban,Yes,5,107304.1
Clayton Hawkins,feliciasmith@example.org,"New York, NY",Endodontist,DSO,DDS with Specialization,Full-time,Small,Rural,Yes,1,127285.96
Christina Castaneda DVM,tonya90@example.net,"Chicago, IL",Endodontist,DSO,DDS,Full-time,Large,Urban,No,2,142947.49
Daniel Kramer,larryshort@example.org,"Los Angeles, CA",General Dentist,DSO,DMD,Temporary,Small,Urban,No,5,94417.94
Amy Morgan,sarahpetersen@example.net,"Los Angeles, CA",General Dentist,DSO,DDS,Part-time,Large,Urban,No,1,104031.12
Lisa Morris,banderson@example.org,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,Full-time,Medium,Urban,No,2,104756.29
Emily Sims,laura20@example.org,"Phoenix, AZ",General Dentist,Private Practice,DMD with Specialization,Contract,Medium,Urban,Yes,5,139870.47
Karen Horne,jamesjones@example.net,"New York, NY",Endodontist,DSO,DMD with Specialization,Temporary,Medium,Rural,Yes,5,100233.74
Brandon Walker,crawfordcory@example.net,"Chicago, IL",General Dentist,DSO,DMD,Full-time,Small,Urban,No,4,83023.75
Christina Alvarez,obartlett@example.org,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,Contract,Large,Rural,No,5,101280.1
Valerie Sanchez,andersonamy@example.org,"Phoenix, AZ",Endodontist,DSO,DMD,Contract,Medium,Urban,No,3,146619.33
Johnny White,terrijames@example.org,"Chicago, IL",Orthodontist,Private Practice,DDS,Contract,Medium,Rural,Yes,3,99967.75
Jeffery Hernandez DDS,waltonjacob@example.org,"New York, NY",Periodontist,DSO,DDS with Specialization,Contract,Medium,Urban,No,3,118131.4
Erica Ellison,cgarza@example.net,"New York, NY",Endodontist,DSO,DDS with Specialization,Part-time,Large,Urban,Yes,5,145452.65
Brian Reed,derek74@example.net,"Phoenix, AZ",Periodontist,DSO,DMD with Specialization,Contract,Small,Urban,No,5,90432.44
Betty Martin,parkerjoseph@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS,Contract,Medium,Rural,No,4,143698.98
Lori Hunter,maryfloyd@example.org,"Chicago, IL",General Dentist,Private Practice,DDS,Contract,Large,Rural,No,4,134483.29
Richard Fleming,jenniferwilkinson@example.net,"Los Angeles, CA",Periodontist,DSO,DMD,Temporary,Small,Urban,Yes,1,146551.95
Jacob Anderson,dtorres@example.com,"Houston, TX",Endodontist,Private Practice,DDS,Part-time,Medium,Rural,Yes,4,130385.1
Christian Holmes,tyler90@example.com,"Houston, TX",General Dentist,DSO,DDS,Full-time,Small,Urban,No,5,81672.63
Edward Mcguire,mariapatton@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,Contract,Large,Urban,No,5,129315.63
Katrina Perry,wpeterson@example.org,"Chicago, IL",Pedodontist,DSO,DMD with Specialization,Part-time,Medium,Urban,Yes,2,131342.96
Christopher Moore,lisataylor@example.net,"Chicago, IL",General Dentist,DSO,DDS,Temporary,Small,Urban,Yes,3,136426.76
Benjamin Benson,jeffrey39@example.net,"New York, NY",Periodontist,DSO,DDS with Specialization,Contract,Medium,Rural,No,5,88012.59
Erica Miller,samantharoach@example.com,"Phoenix, AZ",General Dentist,Private Practice,DMD,Part-time,Small,Urban,Yes,1,126283.31
Jennifer Green,reynoldskimberly@example.com,"Phoenix, AZ",Pedodontist,Private Practice,DMD,Part-time,Small,Rural,Yes,1,133585.02
Heidi Scott,tsingh@example.org,"Los Angeles, CA",Orthodontist,DSO,DDS,Contract,Small,Rural,No,1,92573.36
Margaret Adams,dunnjames@example.com,"Phoenix, AZ",Endodontist,DSO,DMD with Specialization,Temporary,Large,Rural,Yes,5,127472.49
Angela Love,stephanieortiz@example.net,"Los Angeles, CA",Endodontist,Private Practice,DMD,Contract,Large,Rural,Yes,1,135713.77
Andrew Thompson,davislauren@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,Part-time,Small,Urban,Yes,3,147225.23
Tracy Johnson,travisvargas@example.org,"Houston, TX",Endodontist,Private Practice,DMD with Specialization,Contract,Small,Urban,Yes,2,138371.77
Kelly Stevens,jennifer60@example.com,"Houston, TX",Pedodontist,Private Practice,DMD with Specialization,Temporary,Small,Rural,No,5,119322.44
Anthony Murphy,gmartinez@example.org,"New York, NY",Orthodontist,Private Practice,DDS with Specialization,Part-time,Small,Urban,No,1,84219.19
Bradley Rodriguez,robertoedwards@example.org,"New York, NY",General Dentist,Private Practice,DMD with Specialization,Part-time,Small,Rural,No,5,82498.26
Jamie Flores,kcisneros@example.com,"Phoenix, AZ",Endodontist,DSO,DMD with Specialization,Part-time,Medium,Rural,Yes,2,131591.89
Elizabeth Griffith,kayla73@example.org,"Phoenix, AZ",Orthodontist,DSO,DDS,Part-time,Large,Rural,Yes,2,104924.1
Carolyn Walker,ashley02@example.net,"Los Angeles, CA",Endodontist,DSO,DDS,Temporary,Large,Rural,Yes,4,107346.4
John Martin,framirez@example.net,"Los Angeles, CA",Pedodontist,DSO,DDS,Temporary,Large,Urban,Yes,1,126833.51
Savannah Wright,morganmorris@example.org,"Houston, TX",General Dentist,DSO,DDS with Specialization,Contract,Small,Rural,No,4,115518.68
Stephen Rodgers,wmartinez@example.net,"New York, NY",Periodontist,DSO,DMD with Specialization,Full-time,Large,Urban,Yes,4,85686.76
Emily Thomas,emily71@example.org,"Phoenix, AZ",Endodontist,Private Practice,DDS with Specialization,Part-time,Medium,Urban,No,1,102844.61
Marcus Martin,donnasmith@example.net,"Los Angeles, CA",Orthodontist,DSO,DMD,Part-time,Small,Rural,No,3,116839.79
Dominique Brown,montgomeryclayton@example.net,"New York, NY",General Dentist,DSO,DDS,Temporary,Small,Rural,Yes,5,82621.23
John Rogers,gjames@example.org,"Houston, TX",Periodontist,DSO,DDS,Part-time,Large,Rural,No,1,129483.82
Bradley Wright,wsparks@example.com,"Los Angeles, CA",General Dentist,DSO,DDS,Contract,Medium,Rural,Yes,3,88118.25
Jerry Cross,amandagonzalez@example.org,"Houston, TX",Orthodontist,DSO,DDS with Specialization,Full-time,Medium,Rural,Yes,3,103104.83
Megan Wilson,joechase@example.org,"New York, NY",Endodontist,DSO,DDS,Part-time,Medium,Urban,Yes,5,94727.53
Teresa Bishop,patricia27@example.org,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,Part-time,Medium,Rural,Yes,5,107149.97
