Name,Email,Location,Job Title,Job Type,Education,Years of Experience,Employment Type,Practice Size,Area Type,Need Sponsorship,English Proficiency,Annual Salary,Daily Rate,Daily Rate Details,% Production,Details on % Production,% Collection,Details on % Collection,Signing Bonus,Relocation Bonus
Tracy Rodriguez,merrittdavid@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DMD,16,Full-time,Large,Rural,False,Basic,113589.55,417.61,Draw - Term Less than 1 year,20.0,,20.0,,15000.0,
Megan Morrison,tiffanynelson@example.net,"Houston, TX",Endodontist,Private Practice,DMD,3,Part-time,Large,Rural,False,Basic,142204.55,522.81,Draw - Term Less than 1 year,30.0,The production details,15.0,,5000.0,2000.0
Catherine White,janet70@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DDS,17,Contract,Medium,Rural,False,Basic,142687.06,524.58,Draw - Term More than 1 year,30.0,,15.0,,10000.0,6000.0
Stephanie Shelton,xcarter@example.com,"Houston, TX",Pedodontist,DSO,DDS,9,Full-time,Medium,Urban,False,Basic,141136.48,518.88,Guaranteed,30.0,The production details,30.0,,,2000.0
Amanda Bradley,rachael21@example.org,"Chicago, IL",General Dentist,Private Practice,DDS,14,Full-time,Medium,Urban,False,Fluent,131798.67,484.55,Draw - Term Less than 1 year,,The production details,,,5000.0,2000.0
Janice Branch,george92@example.com,"Houston, TX",Pedodontist,DSO,DMD with Specialization,9,Part-time,Small,Rural,True,Native,129233.53,475.12,Draw - Term More than 1 year,40.0,The production details,,The collection details,5000.0,
Gary Marshall,qdrake@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,19,Part-time,Medium,Urban,True,Basic,112855.84,414.91,Guaranteed,20.0,,25.0,,,
Brandon Martinez,emily75@example.net,"Houston, TX",Orthodontist,DSO,DDS,4,Temporary,Large,Urban,False,Basic,90863.35,334.06,Guaranteed,,,40.0,The collection details,,2000.0
Jason Smith,susanle@example.com,"Phoenix, AZ",Periodontist,Private Practice,DMD with Specialization,8,Contract,Small,Urban,True,Fluent,111569.84,410.18,Draw - Term More than 1 year,20.0,,,,5000.0,4000.0
Johnny Elliott,esmith@example.org,"Houston, TX",Periodontist,DSO,DDS with Specialization,20,Contract,Medium,Urban,False,Native,88332.83,324.75,Guaranteed,30.0,,30.0,,,4000.0
Jesus Cobb,vickieanderson@example.net,"Los Angeles, CA",Pedodontist,DSO,DMD,3,Temporary,Small,Rural,True,Native,104735.92,385.06,Draw - Term More than 1 year,40.0,The production details,,The collection details,,2000.0
Thomas Johnston,brianna76@example.net,"Phoenix, AZ",General Dentist,Private Practice,DMD,11,Full-time,Large,Rural,False,Native,104794.4,385.27,Guaranteed,50.0,,,,,2000.0
Kim Gonzalez,molly59@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,21,Part-time,Small,Urban,False,Native,148223.64,544.94,Draw - Term More than 1 year,30.0,,20.0,,,6000.0
Michelle Cooper,janegarrison@example.com,"Los Angeles, CA",Pedodontist,DSO,DMD,22,Temporary,Small,Rural,False,Fluent,100617.39,369.92,Guaranteed,30.0,The production details,,The collection details,15000.0,2000.0
Andrew Murphy,dawnbright@example.net,"Los Angeles, CA",Pedodontist,Private Practice,DDS,29,Temporary,Medium,Rural,False,Proficient,94284.54,346.63,Guaranteed,30.0,The production details,15.0,,,6000.0
Michael Chavez,paul69@example.org,"Phoenix, AZ",General Dentist,DSO,DMD with Specialization,13,Part-time,Medium,Rural,False,Fluent,114405.61,420.61,Draw - Term Less than 1 year,,The production details,15.0,The collection details,15000.0,6000.0
Angela Wright,maddoxdana@example.com,"Houston, TX",Periodontist,DSO,DDS,12,Part-time,Medium,Urban,False,Fluent,84686.07,311.35,Draw,,,25.0,,15000.0,6000.0
Claudia Middleton,josephgriffin@example.net,"New York, NY",Pedodontist,DSO,DDS with Specialization,17,Part-time,Large,Rural,False,Basic,137779.95,506.54,Draw - Term More than 1 year,10.0,,,,15000.0,2000.0
Jordan Russell,nathanielmorrison@example.net,"Chicago, IL",Endodontist,Private Practice,DDS,19,Temporary,Large,Urban,False,Fluent,114329.95,420.33,Draw - Term Less than 1 year,30.0,,10.0,,10000.0,4000.0
Mark Sullivan,brooke32@example.com,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,10,Temporary,Medium,Urban,False,Basic,149672.33,550.27,Draw,30.0,,15.0,The collection details,,2000.0
Hunter Smith,jacobchen@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS,18,Contract,Large,Urban,False,Native,97134.32,357.11,Draw - Term More than 1 year,25.0,,10.0,,15000.0,
Meredith Smith,davidallen@example.com,"Houston, TX",Pedodontist,Private Practice,DMD with Specialization,11,Temporary,Large,Rural,True,Basic,133199.15,489.7,Guaranteed,30.0,,20.0,The collection details,,
Thomas Tran,elizabethlynn@example.com,"Los Angeles, CA",Endodontist,DSO,DDS,20,Part-time,Small,Rural,False,Native,127564.47,468.99,Draw,15.0,,,,5000.0,2000.0
William Elliott,julia70@example.net,"New York, NY",Periodontist,Private Practice,DMD,20,Part-time,Large,Urban,False,Fluent,118749.47,436.58,Draw - Term Less than 1 year,,The production details,30.0,The collection details,,4000.0
Jordan Taylor,slambert@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DMD with Specialization,15,Temporary,Small,Rural,False,Native,142110.13,522.46,Draw,,The production details,,,5000.0,
Tara Lester,tylerdavis@example.net,"Los Angeles, CA",Pedodontist,DSO,DMD with Specialization,22,Part-time,Medium,Rural,True,Proficient,139390.64,512.47,Draw,25.0,The production details,,,10000.0,6000.0
Deanna Dominguez,mark90@example.net,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,26,Contract,Large,Rural,True,Proficient,92539.39,340.22,Draw,40.0,,10.0,,,
Matthew Fowler,samanthakeller@example.com,"New York, NY",Periodontist,DSO,DMD,27,Temporary,Medium,Rural,False,Basic,111432.05,409.68,Draw - Term Less than 1 year,20.0,The production details,,The collection details,5000.0,4000.0
Luke Frazier,dlee@example.org,"Los Angeles, CA",Orthodontist,DSO,DMD,8,Part-time,Large,Rural,False,Proficient,90614.69,333.14,Draw - Term More than 1 year,15.0,The production details,15.0,,10000.0,2000.0
Tammy Burke,amandawilcox@example.org,"New York, NY",Pedodontist,Private Practice,DDS,1,Part-time,Medium,Urban,True,Basic,85680.63,315.0,Draw - Term More than 1 year,40.0,The production details,30.0,,5000.0,
Seth Orr,caseolivia@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,18,Full-time,Large,Rural,False,Proficient,145066.69,533.33,Guaranteed,10.0,The production details,40.0,,,6000.0
John Ramirez,kellyerica@example.net,"New York, NY",General Dentist,DSO,DDS,23,Full-time,Medium,Urban,True,Fluent,108633.44,399.39,Draw,15.0,,,,,6000.0
Nicholas Gutierrez,andrew43@example.net,"Los Angeles, CA",Periodontist,DSO,DDS with Specialization,10,Full-time,Large,Rural,True,Fluent,145098.73,533.45,Draw - Term Less than 1 year,15.0,,,The collection details,10000.0,6000.0
Erin Mendoza,obrown@example.com,"Chicago, IL",General Dentist,Private Practice,DDS with Specialization,11,Contract,Medium,Rural,False,Basic,98511.44,362.17,Draw,40.0,The production details,20.0,,10000.0,2000.0
Michelle Myers,ucarlson@example.org,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,19,Temporary,Large,Urban,False,Native,95557.55,351.31,Draw - Term Less than 1 year,50.0,,10.0,,15000.0,2000.0
Denise Odom,greenallison@example.org,"Chicago, IL",Orthodontist,Private Practice,DMD with Specialization,23,Contract,Small,Urban,True,Basic,91056.59,334.77,Draw - Term More than 1 year,,The production details,25.0,,15000.0,4000.0
Robert Porter,erikapatterson@example.net,"Phoenix, AZ",General Dentist,DSO,DMD,26,Contract,Medium,Rural,True,Native,102621.22,377.28,Draw - Term Less than 1 year,50.0,,10.0,The collection details,10000.0,4000.0
Morgan Lopez,milesdenise@example.net,"Houston, TX",General Dentist,DSO,DDS with Specialization,11,Part-time,Medium,Rural,True,Basic,107900.33,396.69,Draw,10.0,The production details,25.0,,5000.0,6000.0
David Haas,kimberlytaylor@example.org,"Houston, TX",Periodontist,Private Practice,DDS with Specialization,15,Contract,Small,Rural,False,Proficient,127647.2,469.29,Draw,10.0,,30.0,,5000.0,4000.0
Jon Ward,cookdennis@example.org,"Houston, TX",Endodontist,DSO,DMD with Specialization,19,Temporary,Medium,Rural,True,Proficient,122555.29,450.57,Draw,,,,,15000.0,
Lauren Perkins,joseph52@example.net,"New York, NY",Pedodontist,DSO,DDS with Specialization,7,Temporary,Large,Rural,True,Basic,109152.64,401.3,Draw - Term More than 1 year,,The production details,10.0,The collection details,,2000.0
Andre Scott,jon38@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DMD with Specialization,12,Temporary,Small,Rural,True,Fluent,90215.76,331.68,Draw,50.0,The production details,,,5000.0,6000.0
Joseph Guzman,perezcameron@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS,3,Contract,Medium,Rural,False,Fluent,143779.39,528.6,Draw - Term Less than 1 year,10.0,The production details,25.0,The collection details,,4000.0
Gerald Hardy,longangela@example.net,"Los Angeles, CA",Endodontist,DSO,DMD with Specialization,30,Temporary,Small,Urban,True,Fluent,148010.35,544.16,Draw - Term Less than 1 year,40.0,,25.0,,15000.0,4000.0
Joshua Velazquez,dixonlori@example.org,"Chicago, IL",Periodontist,DSO,DDS,13,Temporary,Small,Urban,True,Basic,133887.89,492.23,Draw - Term Less than 1 year,,,25.0,,5000.0,6000.0
Aaron Pearson,bpark@example.com,"Chicago, IL",Periodontist,Private Practice,DMD with Specialization,17,Part-time,Small,Rural,True,Basic,114162.53,419.72,Draw,25.0,,,,10000.0,4000.0
Anne White,castanedamark@example.org,"New York, NY",Periodontist,Private Practice,DDS with Specialization,28,Full-time,Large,Rural,False,Basic,123774.58,455.05,Draw,40.0,The production details,50.0,The collection details,15000.0,
Kathryn Rice,lopezjohn@example.com,"Phoenix, AZ",Periodontist,DSO,DMD,28,Full-time,Large,Rural,False,Basic,143224.27,526.56,Draw - Term More than 1 year,,The production details,,,10000.0,6000.0
Bradley Lindsey,smithkenneth@example.net,"Los Angeles, CA",Pedodontist,Private Practice,DMD,19,Full-time,Medium,Rural,False,Basic,83101.5,305.52,Draw,,,20.0,,5000.0,2000.0
Jeremiah Mueller,keithmay@example.org,"Houston, TX",General Dentist,Private Practice,DDS,16,Part-time,Large,Rural,False,Basic,114347.25,420.39,Draw - Term More than 1 year,,,,,10000.0,
Jennifer Knox,chase83@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,2,Temporary,Medium,Urban,False,Basic,93827.82,344.96,Draw - Term Less than 1 year,25.0,,,The collection details,,2000.0
Seth Phillips MD,howardrebecca@example.com,"Los Angeles, CA",Orthodontist,DSO,DMD,12,Contract,Medium,Rural,False,Proficient,93670.38,344.38,Guaranteed,,,50.0,The collection details,10000.0,2000.0
David Walker,amurillo@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DMD,20,Temporary,Large,Urban,False,Basic,112255.91,412.71,Draw - Term Less than 1 year,20.0,The production details,30.0,,,4000.0
Nathan Wilson,ingramsandra@example.com,"Los Angeles, CA",Endodontist,DSO,DMD,21,Contract,Small,Urban,True,Native,116354.58,427.77,Guaranteed,30.0,,,,,4000.0
Caitlyn Smith,trevinoamber@example.net,"Chicago, IL",Orthodontist,DSO,DMD with Specialization,13,Contract,Large,Urban,False,Proficient,95148.98,349.81,Draw,40.0,The production details,25.0,,,
Tina Mata,biancaherrera@example.com,"Houston, TX",General Dentist,DSO,DDS with Specialization,22,Contract,Small,Rural,False,Proficient,123600.64,454.41,Draw,40.0,,30.0,The collection details,5000.0,
Lisa Lopez,hurleydennis@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DMD,3,Contract,Small,Rural,True,Proficient,140659.56,517.13,Draw - Term More than 1 year,20.0,,10.0,,15000.0,2000.0
Susan Villa,jonathanedwards@example.net,"Chicago, IL",Periodontist,DSO,DDS,5,Contract,Large,Urban,True,Native,100511.39,369.53,Draw,,,30.0,The collection details,10000.0,2000.0
Joseph Walter,rachel70@example.com,"Chicago, IL",Pedodontist,DSO,DDS with Specialization,12,Contract,Small,Urban,True,Native,109399.68,402.2,Draw - Term Less than 1 year,,The production details,25.0,,,2000.0
William Harris,richard35@example.org,"Los Angeles, CA",Pedodontist,DSO,DDS with Specialization,25,Part-time,Medium,Urban,True,Basic,123005.38,452.23,Draw - Term More than 1 year,30.0,,,,5000.0,4000.0
Felicia Mejia,nlyons@example.net,"Chicago, IL",Periodontist,Private Practice,DDS,16,Part-time,Medium,Rural,False,Basic,93726.56,344.58,Draw - Term Less than 1 year,25.0,,,,10000.0,4000.0
Stephen Johnson,foxruth@example.com,"Los Angeles, CA",Endodontist,DSO,DMD,22,Part-time,Small,Rural,True,Basic,131495.12,483.44,Draw - Term Less than 1 year,15.0,The production details,10.0,The collection details,5000.0,
Regina Jones,nicholskimberly@example.net,"Houston, TX",General Dentist,Private Practice,DDS with Specialization,27,Temporary,Medium,Rural,False,Native,134564.35,494.72,Draw - Term More than 1 year,30.0,,,,5000.0,6000.0
Justin Best,lopezdonald@example.org,"Phoenix, AZ",Periodontist,Private Practice,DDS,26,Temporary,Medium,Rural,True,Native,102439.63,376.62,Draw,,,25.0,,5000.0,4000.0
Timothy Campbell,linda34@example.net,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,16,Temporary,Medium,Rural,True,Fluent,145638.06,535.43,Draw - Term More than 1 year,40.0,The production details,25.0,,15000.0,2000.0
Adam Thomas,glennvillanueva@example.org,"Phoenix, AZ",Periodontist,DSO,DDS,17,Contract,Large,Rural,False,Native,89593.31,329.39,Draw - Term More than 1 year,25.0,,20.0,The collection details,10000.0,6000.0
Meredith Martin,ojames@example.org,"Chicago, IL",General Dentist,Private Practice,DMD,20,Contract,Small,Rural,True,Fluent,140916.7,518.08,Guaranteed,20.0,,40.0,,,
Daniel Figueroa,mark61@example.net,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,10,Temporary,Medium,Rural,True,Basic,94755.52,348.37,Draw - Term Less than 1 year,30.0,,20.0,,,
Lisa Newman,maria80@example.com,"Phoenix, AZ",Endodontist,Private Practice,DDS,10,Temporary,Medium,Urban,True,Fluent,81468.19,299.52,Guaranteed,30.0,The production details,25.0,,15000.0,2000.0
Suzanne Carter,millsjacqueline@example.com,"Phoenix, AZ",Endodontist,DSO,DDS with Specialization,11,Contract,Small,Rural,False,Basic,109740.62,403.46,Draw - Term More than 1 year,,,20.0,,10000.0,6000.0
Mrs. Yvette Smith,dorothyedwards@example.net,"Houston, TX",Periodontist,Private Practice,DDS,26,Temporary,Medium,Urban,True,Proficient,87721.93,322.51,Draw - Term More than 1 year,30.0,The production details,,The collection details,,6000.0
Jacob Freeman,jeremy75@example.net,"Houston, TX",Endodontist,DSO,DMD with Specialization,5,Contract,Medium,Rural,False,Proficient,90903.25,334.2,Draw - Term More than 1 year,,,,,15000.0,6000.0
Beth Conway,odomjose@example.org,"Los Angeles, CA",Endodontist,DSO,DMD with Specialization,2,Full-time,Small,Rural,True,Basic,107515.59,395.28,Draw - Term More than 1 year,10.0,,,The collection details,15000.0,6000.0
David Price,danielsutton@example.net,"Houston, TX",General Dentist,Private Practice,DDS,4,Part-time,Small,Urban,False,Proficient,81450.52,299.45,Draw,30.0,The production details,50.0,The collection details,15000.0,2000.0
Stacey Garza,patrick20@example.org,"Chicago, IL",Orthodontist,Private Practice,DMD,26,Temporary,Medium,Rural,False,Basic,130762.35,480.74,Guaranteed,50.0,The production details,20.0,The collection details,15000.0,2000.0
Melanie Moore,tracy33@example.org,"Phoenix, AZ",Pedodontist,DSO,DMD,16,Part-time,Small,Urban,True,Proficient,148336.99,545.36,Guaranteed,,The production details,40.0,,5000.0,6000.0
Evan Brown,angelafernandez@example.org,"Chicago, IL",Periodontist,Private Practice,DDS,23,Part-time,Medium,Urban,True,Proficient,108224.34,397.88,Guaranteed,,The production details,30.0,,10000.0,
Jessica Alvarado,nwilson@example.org,"New York, NY",Endodontist,DSO,DDS with Specialization,22,Full-time,Small,Urban,True,Fluent,113462.84,417.14,Guaranteed,10.0,,30.0,,,2000.0
Brittany Smith,krystal35@example.net,"Houston, TX",Periodontist,DSO,DDS with Specialization,26,Part-time,Medium,Urban,True,Proficient,120753.55,443.95,Guaranteed,,The production details,,,,2000.0
Brenda Conner,todd68@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,10,Part-time,Small,Urban,False,Proficient,92281.29,339.27,Guaranteed,15.0,,50.0,The collection details,10000.0,4000.0
Travis King,markpalmer@example.org,"Houston, TX",Periodontist,DSO,DMD,13,Full-time,Large,Urban,False,Basic,81644.87,300.16,Draw - Term Less than 1 year,25.0,,30.0,,,
Kimberly Castro,hherring@example.org,"Chicago, IL",General Dentist,DSO,DDS with Specialization,18,Temporary,Small,Urban,True,Native,147871.28,543.64,Guaranteed,,,,The collection details,10000.0,4000.0
Amy Taylor,pamela93@example.org,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,3,Full-time,Medium,Rural,True,Basic,119241.64,438.39,Draw - Term More than 1 year,,The production details,,,15000.0,4000.0
Joseph Adams,yvonnesmith@example.com,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,10,Full-time,Medium,Rural,True,Proficient,121685.85,447.37,Draw - Term Less than 1 year,,,,,5000.0,
Joseph Wagner,zwood@example.com,"Chicago, IL",Periodontist,Private Practice,DMD with Specialization,7,Temporary,Medium,Rural,True,Proficient,138675.1,509.83,Draw - Term Less than 1 year,50.0,The production details,25.0,The collection details,15000.0,4000.0
Lawrence Edwards,james78@example.org,"Phoenix, AZ",Periodontist,Private Practice,DDS with Specialization,15,Contract,Medium,Rural,True,Native,118942.51,437.29,Draw - Term Less than 1 year,,The production details,50.0,The collection details,10000.0,6000.0
April Kennedy,whammond@example.org,"New York, NY",General Dentist,Private Practice,DMD,2,Full-time,Small,Urban,True,Fluent,134052.92,492.84,Draw,50.0,,10.0,,10000.0,6000.0
Audrey Petersen,ryan87@example.org,"New York, NY",General Dentist,DSO,DMD,23,Full-time,Large,Urban,True,Native,132016.31,485.35,Draw - Term More than 1 year,,The production details,,,10000.0,2000.0
Priscilla Johnson DDS,john50@example.com,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,18,Temporary,Medium,Urban,False,Native,88990.74,327.17,Draw - Term More than 1 year,,The production details,40.0,The collection details,,6000.0
Alexandra Davis,george50@example.com,"Houston, TX",Pedodontist,Private Practice,DMD with Specialization,20,Temporary,Small,Rural,False,Basic,82104.96,301.86,Draw - Term More than 1 year,40.0,,30.0,The collection details,5000.0,2000.0
Nathan Odom,gregorybarron@example.com,"Chicago, IL",Endodontist,Private Practice,DDS,22,Temporary,Small,Rural,False,Basic,116937.92,429.92,Guaranteed,40.0,,20.0,,,4000.0
Amy Vaughn,kpeterson@example.org,"Phoenix, AZ",General Dentist,Private Practice,DMD with Specialization,27,Full-time,Small,Urban,False,Fluent,104997.98,386.02,Draw,50.0,The production details,25.0,The collection details,10000.0,2000.0
Barbara Bishop,matthewpowell@example.net,"Chicago, IL",Pedodontist,DSO,DDS with Specialization,20,Part-time,Large,Urban,True,Proficient,102801.96,377.95,Draw - Term More than 1 year,50.0,,,The collection details,15000.0,
Hailey Mitchell,emartinez@example.org,"New York, NY",Endodontist,Private Practice,DDS with Specialization,8,Contract,Large,Rural,False,Fluent,104791.43,385.26,Guaranteed,15.0,The production details,15.0,The collection details,10000.0,2000.0
Brittany Turner,kellybryant@example.net,"Chicago, IL",Endodontist,DSO,DMD with Specialization,13,Contract,Small,Urban,True,Fluent,91699.95,337.13,Draw - Term More than 1 year,50.0,,50.0,The collection details,,2000.0
Nicholas Randall,christianhamilton@example.org,"New York, NY",Pedodontist,DSO,DDS,25,Temporary,Medium,Urban,False,Fluent,111950.62,411.58,Draw - Term Less than 1 year,,,50.0,,15000.0,
Debbie Kennedy,castilloandrew@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DMD,25,Part-time,Large,Rural,True,Proficient,125205.52,460.31,Draw - Term More than 1 year,10.0,The production details,,The collection details,,2000.0
Scott Johnson,msmith@example.com,"Houston, TX",Periodontist,Private Practice,DMD with Specialization,12,Part-time,Small,Urban,True,Basic,103947.02,382.16,Guaranteed,50.0,The production details,,The collection details,10000.0,2000.0
Samantha Olsen,cohenjustin@example.net,"New York, NY",Pedodontist,DSO,DMD with Specialization,1,Contract,Medium,Urban,True,Native,99871.19,367.17,Draw - Term Less than 1 year,,,10.0,,15000.0,6000.0
Dr. Karen Dominguez,lisathompson@example.net,"Chicago, IL",Periodontist,Private Practice,DMD,29,Contract,Small,Rural,True,Fluent,101505.13,373.18,Draw - Term More than 1 year,,,,,5000.0,4000.0
Russell Porter,david25@example.net,"New York, NY",Pedodontist,DSO,DDS with Specialization,9,Temporary,Medium,Urban,False,Native,134291.2,493.72,Draw - Term Less than 1 year,,The production details,40.0,The collection details,5000.0,4000.0
Susan Stuart,wbean@example.net,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,28,Full-time,Large,Rural,True,Basic,88048.93,323.71,Guaranteed,15.0,,,,10000.0,
Ann Briggs,james21@example.org,"Houston, TX",General Dentist,Private Practice,DMD,6,Full-time,Large,Urban,True,Proficient,83092.78,305.49,Draw,40.0,,,,15000.0,4000.0
Jenna Mcgee,thomassnyder@example.net,"Houston, TX",General Dentist,Private Practice,DDS with Specialization,22,Full-time,Small,Rural,False,Basic,113843.46,418.54,Draw - Term Less than 1 year,,,,,15000.0,6000.0
Mark Duran,sue63@example.com,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,5,Full-time,Small,Rural,True,Fluent,125408.33,461.06,Draw,30.0,,,,10000.0,4000.0
Rachel Watson,vanessamiller@example.net,"Phoenix, AZ",Endodontist,Private Practice,DDS,2,Temporary,Large,Rural,False,Proficient,140273.44,515.71,Guaranteed,50.0,The production details,50.0,The collection details,15000.0,4000.0
Ann Martin,burgessrobert@example.net,"Chicago, IL",General Dentist,Private Practice,DMD,2,Temporary,Large,Urban,False,Native,143410.69,527.25,Guaranteed,15.0,,10.0,The collection details,10000.0,4000.0
Mary Flynn,christophermorrison@example.com,"Houston, TX",Pedodontist,DSO,DMD with Specialization,17,Full-time,Medium,Rural,False,Basic,84034.59,308.95,Guaranteed,10.0,,,The collection details,10000.0,6000.0
Kenneth Carter,kelly72@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,20,Full-time,Medium,Urban,False,Proficient,131764.41,484.43,Guaranteed,50.0,The production details,25.0,The collection details,5000.0,2000.0
Karen Strong,zachary47@example.net,"New York, NY",Endodontist,DSO,DMD with Specialization,9,Temporary,Large,Rural,True,Basic,125785.38,462.45,Draw - Term Less than 1 year,25.0,,,,5000.0,2000.0
Mark Richardson PhD,weberdorothy@example.org,"Los Angeles, CA",General Dentist,DSO,DMD with Specialization,11,Full-time,Medium,Urban,False,Fluent,109081.64,401.04,Draw,15.0,,25.0,,15000.0,2000.0
Courtney Martinez,melodyrios@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DDS,12,Contract,Large,Rural,True,Basic,140621.54,516.99,Draw,20.0,The production details,,,,
Tim Cooper,wendyklein@example.com,"Los Angeles, CA",General Dentist,DSO,DDS,17,Temporary,Small,Rural,True,Proficient,110289.25,405.48,Draw - Term Less than 1 year,30.0,The production details,,The collection details,,6000.0
Sarah Armstrong,russell70@example.com,"Chicago, IL",General Dentist,DSO,DMD,15,Temporary,Large,Rural,True,Fluent,117257.58,431.09,Draw - Term Less than 1 year,50.0,,,The collection details,15000.0,
Sarah Johnson,matthewdavid@example.com,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,8,Full-time,Large,Urban,False,Proficient,104620.41,384.63,Draw - Term Less than 1 year,,,,,15000.0,
Jean Jackson,batestamara@example.com,"Chicago, IL",Endodontist,DSO,DMD with Specialization,5,Temporary,Medium,Rural,False,Fluent,124334.32,457.11,Draw - Term More than 1 year,25.0,,,,5000.0,6000.0
Sabrina Douglas,jenniferquinn@example.net,"Houston, TX",Periodontist,Private Practice,DMD,16,Temporary,Small,Rural,True,Basic,138053.13,507.55,Draw - Term Less than 1 year,,The production details,30.0,,5000.0,6000.0
Robert Elliott,chandlerjohn@example.org,"Houston, TX",Periodontist,Private Practice,DDS,21,Full-time,Small,Urban,True,Fluent,80095.85,294.47,Draw - Term Less than 1 year,10.0,,25.0,The collection details,10000.0,4000.0
Kevin Miller,gabriel59@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS,27,Temporary,Large,Urban,True,Proficient,145607.42,535.32,Draw - Term Less than 1 year,10.0,,,,10000.0,2000.0
Chelsey Lopez,jamiemeyers@example.org,"Chicago, IL",Orthodontist,DSO,DMD,6,Temporary,Medium,Rural,True,Basic,123025.2,452.3,Guaranteed,50.0,The production details,,The collection details,,2000.0
Colin Munoz,zwilson@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DMD,2,Contract,Large,Rural,False,Native,85624.17,314.79,Draw - Term More than 1 year,20.0,,30.0,,15000.0,
Tasha Jones,lindsey56@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,13,Full-time,Large,Rural,False,Proficient,147806.33,543.41,Draw,40.0,The production details,10.0,,15000.0,2000.0
Samantha Ponce,angelahudson@example.net,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,1,Part-time,Large,Urban,False,Native,91681.88,337.07,Draw - Term More than 1 year,,,15.0,The collection details,15000.0,6000.0
Dana Flynn,patriciaparker@example.com,"Los Angeles, CA",Periodontist,DSO,DMD with Specialization,13,Contract,Large,Rural,True,Basic,113252.36,416.37,Draw,50.0,The production details,,The collection details,15000.0,
Dawn Aguilar,coreywhite@example.com,"Los Angeles, CA",Endodontist,DSO,DDS,6,Contract,Medium,Urban,False,Native,125896.17,462.85,Draw - Term More than 1 year,,,,,10000.0,
James Simpson,brian78@example.com,"Chicago, IL",Periodontist,DSO,DMD,8,Contract,Medium,Rural,True,Native,100727.68,370.32,Draw - Term More than 1 year,,,25.0,,5000.0,4000.0
Maureen Rodriguez,nobleashley@example.com,"New York, NY",Endodontist,Private Practice,DDS,26,Contract,Medium,Rural,False,Proficient,116394.59,427.92,Draw - Term More than 1 year,20.0,The production details,,,5000.0,
Taylor Simmons,gabriel77@example.com,"Houston, TX",Orthodontist,Private Practice,DMD with Specialization,12,Full-time,Large,Rural,False,Native,136674.33,502.48,Draw,,,25.0,,,2000.0
Charles Lewis,adamwatson@example.com,"Chicago, IL",General Dentist,DSO,DMD with Specialization,21,Part-time,Medium,Urban,True,Proficient,142580.6,524.19,Guaranteed,,The production details,25.0,The collection details,,
Michelle Nelson,kgallegos@example.com,"Los Angeles, CA",Periodontist,Private Practice,DDS,12,Temporary,Medium,Rural,True,Basic,105832.71,389.09,Draw - Term More than 1 year,,The production details,,The collection details,15000.0,2000.0
Alan Beck,michael87@example.org,"New York, NY",Endodontist,Private Practice,DMD with Specialization,16,Full-time,Large,Urban,False,Proficient,87049.81,320.04,Draw,30.0,The production details,10.0,The collection details,,4000.0
Jeffrey Hartman,xgalvan@example.net,"Houston, TX",Pedodontist,DSO,DDS with Specialization,15,Full-time,Small,Urban,False,Basic,112892.8,415.05,Draw - Term Less than 1 year,20.0,,40.0,,15000.0,4000.0
Hannah Ramos,jerrycooley@example.com,"Los Angeles, CA",Endodontist,DSO,DMD,12,Contract,Medium,Rural,False,Proficient,148264.59,545.09,Draw,,,,,10000.0,4000.0
Caleb Adkins,dennisboone@example.org,"New York, NY",Periodontist,DSO,DDS,12,Part-time,Medium,Rural,True,Fluent,119443.59,439.13,Draw - Term Less than 1 year,40.0,,25.0,,10000.0,2000.0
